ALLSKY_SFC_SW_DWN,RH2M,WS2M,T2M,PRECTOTCORR
0.0,52.61,1.42,8.69,0.0
0.0,54.86,1.37,8.07,0.0
0.0,56.76,1.32,7.53,0.0
0.0,58.2,1.27,7.08,0.0
0.0,59.3,1.25,6.65,0.0
0.0,60.69,1.28,6.16,0.0
0.04,60.5,1.36,6.18,0.0
0.49,48.88,2.54,9.44,0.0
1.1,42.09,2.46,11.9,0.0
1.7,36.17,1.99,15.49,0.0
2.12,24.7,2.32,20.81,0.0
2.11,22.41,2.34,22.9,0.0
2.05,21.82,2.46,23.78,0.0
1.72,21.81,2.51,24.02,0.0
1.25,23.1,2.41,23.42,0.0
0.71,36.96,1.15,21.15,0.0
0.17,44.95,1.18,16.96,0.0
0.0,46.25,1.34,14.6,0.0
0.0,48.03,1.37,13.51,0.0
0.0,49.36,1.38,12.63,0.0
0.0,50.85,1.39,11.81,0.0
0.0,52.23,1.43,11.13,0.0
0.0,53.72,1.42,10.53,0.0
0.0,55.3,1.39,9.95,0.0
0.0,56.75,1.36,9.42,0.0
0.0,58.14,1.31,8.95,0.0
0.0,59.19,1.26,8.5,0.0
0.0,60.04,1.21,8.07,0.0
0.0,61.18,1.17,7.65,0.0
0.0,62.31,1.13,7.32,0.0
0.04,61.57,1.04,7.58,0.0
0.46,53.76,1.29,10.43,0.0
1.08,45.52,1.33,12.89,0.0
1.66,36.84,1.33,16.86,0.0
2.06,25.09,1.34,21.81,0.0
2.08,22.36,1.66,23.49,0.0
2.0,20.85,2.14,24.43,0.0
1.72,20.34,2.45,24.79,0.0
1.23,21.01,2.58,24.41,0.0
0.65,31.93,1.41,22.46,0.0
0.16,42.99,1.15,18.29,0.0
0.0,42.2,1.32,16.43,0.0
0.0,42.74,1.33,15.66,0.0
0.0,44.04,1.33,14.8,0.0
0.0,45.42,1.34,13.89,0.0
0.0,46.89,1.34,13.09,0.0
0.0,48.11,1.35,12.38,0.0
0.0,48.88,1.35,11.85,0.0
0.0,49.54,1.34,11.39,0.0
0.0,49.78,1.31,11.09,0.0
0.0,49.89,1.29,10.83,0.0
0.0,51.92,1.28,10.12,0.0
0.0,54.93,1.26,9.21,0.0
0.0,56.84,1.32,8.53,0.0
0.04,57.18,1.35,8.6,0.0
0.45,46.06,2.32,12.22,0.0
1.05,39.09,2.12,14.9,0.0
1.67,32.94,1.51,18.6,0.0
2.09,23.72,1.97,23.05,0.0
2.28,20.07,2.17,25.58,0.0
2.15,19.49,2.19,26.46,0.0
1.9,19.59,2.16,26.68,0.0
1.39,21.19,2.05,26.15,0.0
0.76,37.57,0.9,23.95,0.0
0.19,36.15,1.05,21.54,0.0
0.0,32.9,1.03,20.54,0.0
0.0,32.92,0.96,19.94,0.0
